Id,Group,Name,Num Rows,Num Cols,Num Nonzero,Sparsity,DType,Is 2D/3D,Is SPD,Pattern Symmetry,Numerical Symmetry,Kind,File Path
260,HB,well1033,1033,320,4732,0.014315101645692158,real,False,False,0.0,0.0,least squares problem,well1033.mat
261,HB,well1850,1850,712,8755,0.006646674764652293,real,False,False,0.0,0.0,least squares problem,well1850.mat
262,HB,west0067,67,67,294,0.06549342838048562,real,False,False,0.03424657534246575,0.0,chemical process simulation problem,west0067.mat
263,HB,west0132,132,132,413,0.02370293847566575,real,False,False,0.0196078431372549,0.004914004914004914,chemical process simulation problem,west0132.mat
264,HB,west0156,156,156,362,0.014875082182774491,real,False,False,0.0,0.0,chemical process simulation problem,west0156.mat
265,HB,west0167,167,167,506,0.01814335401054179,real,False,False,0.01622718052738337,0.0,chemical process simulation problem,west0167.mat
266,HB,west0381,381,381,2134,0.01470091829072547,real,False,False,0.005565862708719851,0.0009376465072667605,chemical process simulation problem,west0381.mat
267,HB,west0479,479,479,1888,0.008228694958616813,real,False,False,0.01366982124079916,0.0,chemical process simulation problem,west0479.mat
268,HB,west0497,497,497,1721,0.006967357464707764,real,False,False,0.006972690296339338,0.0,chemical process simulation problem,west0497.mat
269,HB,west0655,655,655,2808,0.006545073130936425,real,False,False,0.005616005616005616,0.0,chemical process simulation problem,west0655.mat
270,HB,west0989,989,989,3518,0.0035966920248108364,real,False,False,0.01812004530011325,0.003985197836606889,chemical process simulation problem,west0989.mat
271,HB,west1505,1505,1505,5414,0.002390260593150186,real,False,False,0.001102941176470588,0.0,chemical process simulation problem,west1505.mat
272,HB,west2021,2021,2021,7310,0.0017897185930706308,real,False,False,0.00326619488296135,0.0,chemical process simulation problem,west2021.mat
275,HB,wm1,207,277,2909,0.050733357749524755,real,False,False,0.0,0.0,economic problem,wm1.mat
276,HB,wm2,207,260,2942,0.054663693794128575,real,False,False,0.0,0.0,economic problem,wm2.mat
277,HB,wm3,207,260,2948,0.054775176514306946,real,False,False,0.0,0.0,economic problem,wm3.mat
282,HB,zenios,2873,2873,1314,0.00015919305356143574,real,False,False,1.0,1.0,optimization problem,zenios.mat
283,ATandT,onetone1,36057,36057,335552,0.00025809563038595135,real,False,False,0.0742956282869174,0.04331285111284008,frequency-domain circuit simulation problem,onetone1.mat
284,ATandT,onetone2,36057,36057,222596,0.00017121356732009116,real,False,False,0.1128682425939654,0.06622764699821082,frequency-domain circuit simulation problem,onetone2.mat
286,ATandT,twotone,120750,120750,1206265,8.273103318201888e-05,real,False,False,0.2445668624008717,0.1058542372000797,frequency-domain circuit simulation problem,twotone.mat
298,Bai,bwm200,200,200,796,0.0199,real,False,False,1.0,0.6644295302013423,chemical process simulation problem,bwm200.mat
299,Bai,bwm2000,2000,2000,7996,0.001999,real,False,False,1.0,0.6664442961974649,chemical process simulation problem,bwm2000.mat
313,Bai,lop163,163,163,935,0.03519138846023562,real,False,False,0.4507772020725389,0.0,statistical/mathematical problem,lop163.mat
328,Bai,qh882,882,882,3354,0.004311475156956206,real,False,False,0.9264705882352942,0.0,power network problem,qh882.mat
334,Bai,rw136,136,136,479,0.025897491349480967,real,False,False,0.44258872651357,0.02922755741127349,statistical/mathematical problem,rw136.mat
335,Bai,rw496,496,496,1859,0.007556419094693029,real,False,False,0.4690693921463152,0.0,statistical/mathematical problem,rw496.mat
336,Bai,rw5151,5151,5151,20199,0.0007612841177228141,real,False,False,0.4902222882320907,0.0,statistical/mathematical problem,rw5151.mat
370,Bomhof,circuit_1,2624,2624,35823,0.005202765978212374,real,False,False,0.999548641410646,0.2060602413263924,circuit simulation problem,circuit_1.mat
371,Bomhof,circuit_2,4510,4510,21199,0.0010422269310377038,real,False,False,0.806563660318601,0.4152593124925141,circuit simulation problem,circuit_2.mat
372,Bomhof,circuit_3,12127,12127,48137,0.00032731979121842825,real,False,False,0.7700717835450027,0.3001104362230811,circuit simulation problem,circuit_3.mat
373,Bomhof,circuit_4,80209,80209,307604,4.781297587004791e-05,real,False,False,0.8292028705104302,0.3635452210926232,circuit simulation problem,circuit_4.mat
441,Gaertner,big,13209,13209,91465,0.0005242217771108501,real,False,False,1.0,0.999974442854222,directed weighted graph,big.mat
442,Gaertner,nopoly,10774,10774,70842,0.0006102908675806483,real,False,False,1.0,1.0,undirected weighted graph,nopoly.mat
443,Gaertner,pesa,11738,11738,79566,0.000577483147778,real,False,False,1.0,0.999970513652179,directed weighted graph,pesa.mat
449,Grund,b1_ss,7,7,15,0.30612244897959184,real,False,False,0.0,0.0,chemical process simulation problem,b1_ss.mat
450,Grund,b2_ss,1089,1089,3895,0.003284367171169075,real,False,False,0.0146710837671557,0.0005136106831022085,chemical process simulation problem,b2_ss.mat
451,Grund,b_dyn,1089,1089,4144,0.0034943305667072258,real,False,False,0.01454716095729704,0.0004828585224529213,chemical process simulation problem,b_dyn.mat
452,Grund,bayer01,57735,57735,275094,8.252827695761826e-05,real,False,False,0.0002304047924196823,2.908118011428904e-05,chemical process simulation problem,bayer01.mat
453,Grund,bayer02,13935,13935,63307,0.00032601515390861434,real,False,False,0.001884570082449941,0.000284346713425904,chemical process simulation problem,bayer02.mat
454,Grund,bayer03,6747,6747,29195,0.0006413381272342352,real,False,False,0.003132397173723459,0.0002740852405097985,chemical process simulation problem,bayer03.mat
455,Grund,bayer04,20545,20545,85537,0.00020264772062773956,real,False,False,0.001584088708967702,0.0002104352502425851,chemical process simulation problem,bayer04.mat
456,Grund,bayer05,3268,3268,20712,0.0019393578021510466,real,False,False,0.006682474671265359,0.00135200386286818,chemical process simulation problem,bayer05.mat
457,Grund,bayer06,3008,3008,20715,0.00228944003932775,real,False,False,0.006745484877058098,0.001351808043257857,chemical process simulation problem,bayer06.mat
458,Grund,bayer07,3268,3268,20963,0.001962860062113383,real,False,False,0.006682474671265359,0.0013358141310052,chemical process simulation problem,bayer07.mat
459,Grund,bayer08,3008,3008,20698,0.0022875611843594388,real,False,False,0.006745484877058098,0.001352918438345574,chemical process simulation problem,bayer08.mat
460,Grund,bayer09,3083,3083,11767,0.0012379944678996252,real,False,False,0.02112012068640392,0.0001700246535747683,chemical process simulation problem,bayer09.mat
461,Grund,bayer10,13436,13436,71594,0.00039658532248988535,real,False,False,0.002528365095919851,0.0002234917796929782,chemical process simulation problem,bayer10.mat
462,Grund,d_dyn,87,87,230,0.03038710529792575,real,False,False,0.07692307692307693,0.01769911504424779,chemical process simulation problem,d_dyn.mat
463,Grund,d_dyn1,87,87,232,0.03065134099616858,real,False,False,0.07692307692307693,0.01754385964912281,chemical process simulation problem,d_dyn1.mat
464,Grund,d_ss,53,53,144,0.05126379494482022,real,False,False,0.04137931034482759,0.0,chemical process simulation problem,d_ss.mat
465,Grund,meg1,2904,2904,58142,0.006894404222540962,real,False,False,0.002374602082078637,0.001996042329863202,circuit simulation problem,meg1.mat
466,Grund,meg4,5860,5860,25258,0.0007355356498037251,real,False,False,1.0,1.0,circuit simulation problem,meg4.mat
467,Grund,poli,4008,4008,8188,0.000509709124664842,real,False,False,0.0291866028708134,0.002392344497607655,economic problem,poli.mat
468,Grund,poli_large,15575,15575,33033,0.00013617328259418903,real,False,False,0.003543059603405909,0.0004582426394776034,economic problem,poli_large.mat
469,Gset,G1,800,800,38352,0.059925,binary,False,False,1.0,1.0,undirected random graph,G1.mat
470,Gset,G10,800,800,38352,0.059925,real,False,False,1.0,1.0,undirected weighted random graph,G10.mat
471,Gset,G11,800,800,3200,0.005,real,False,False,1.0,1.0,undirected weighted random graph,G11.mat
472,Gset,G12,800,800,3200,0.005,real,False,False,1.0,1.0,undirected weighted random graph,G12.mat
473,Gset,G13,800,800,3200,0.005,real,False,False,1.0,1.0,undirected weighted random graph,G13.mat
474,Gset,G14,800,800,9388,0.01466875,binary,False,False,1.0,1.0,duplicate undirected random graph,G14.mat
475,Gset,G15,800,800,9322,0.014565625,binary,False,False,1.0,1.0,duplicate undirected random graph,G15.mat
476,Gset,G16,800,800,9344,0.0146,binary,False,False,1.0,1.0,duplicate undirected random graph,G16.mat
477,Gset,G17,800,800,9334,0.014584375,binary,False,False,1.0,1.0,duplicate undirected random graph,G17.mat
478,Gset,G18,800,800,9388,0.01466875,real,False,False,1.0,1.0,undirected weighted random graph,G18.mat
479,Gset,G19,800,800,9322,0.014565625,real,False,False,1.0,1.0,undirected weighted random graph,G19.mat
480,Gset,G2,800,800,38352,0.059925,binary,False,False,1.0,1.0,undirected random graph,G2.mat
481,Gset,G20,800,800,9344,0.0146,real,False,False,1.0,1.0,undirected weighted random graph,G20.mat
482,Gset,G21,800,800,9334,0.014584375,real,False,False,1.0,1.0,undirected weighted random graph,G21.mat
483,Gset,G22,2000,2000,39980,0.009994999999999999,binary,False,False,1.0,1.0,undirected random graph,G22.mat
484,Gset,G23,2000,2000,39980,0.009994999999999999,binary,False,False,1.0,1.0,undirected random graph,G23.mat
485,Gset,G24,2000,2000,39980,0.009994999999999999,binary,False,False,1.0,1.0,undirected random graph,G24.mat
486,Gset,G25,2000,2000,39980,0.009994999999999999,binary,False,False,1.0,1.0,undirected random graph,G25.mat
487,Gset,G26,2000,2000,39980,0.009994999999999999,binary,False,False,1.0,1.0,undirected random graph,G26.mat
488,Gset,G27,2000,2000,39980,0.009994999999999999,real,False,False,1.0,1.0,undirected weighted random graph,G27.mat
489,Gset,G28,2000,2000,39980,0.009994999999999999,real,False,False,1.0,1.0,undirected weighted random graph,G28.mat
490,Gset,G29,2000,2000,39980,0.009994999999999999,real,False,False,1.0,1.0,undirected weighted random graph,G29.mat
491,Gset,G3,800,800,38352,0.059925,binary,False,False,1.0,1.0,undirected random graph,G3.mat
492,Gset,G30,2000,2000,39980,0.009994999999999999,real,False,False,1.0,1.0,undirected weighted random graph,G30.mat
493,Gset,G31,2000,2000,39980,0.009994999999999999,real,False,False,1.0,1.0,undirected weighted random graph,G31.mat
494,Gset,G32,2000,2000,8000,0.002,real,False,False,1.0,1.0,undirected weighted random graph,G32.mat
495,Gset,G33,2000,2000,8000,0.002,real,False,False,1.0,1.0,undirected weighted random graph,G33.mat
496,Gset,G34,2000,2000,8000,0.002,real,False,False,1.0,1.0,undirected weighted random graph,G34.mat
497,Gset,G35,2000,2000,23556,0.005889,binary,False,False,1.0,1.0,duplicate undirected random graph,G35.mat
498,Gset,G36,2000,2000,23532,0.005883,binary,False,False,1.0,1.0,duplicate undirected random graph,G36.mat
499,Gset,G37,2000,2000,23570,0.0058925,binary,False,False,1.0,1.0,duplicate undirected random graph,G37.mat
500,Gset,G38,2000,2000,23558,0.0058895,binary,False,False,1.0,1.0,duplicate undirected random graph,G38.mat
501,Gset,G39,2000,2000,23556,0.005889,real,False,False,1.0,1.0,undirected weighted random graph,G39.mat
502,Gset,G4,800,800,38352,0.059925,binary,False,False,1.0,1.0,undirected random graph,G4.mat
503,Gset,G40,2000,2000,23532,0.005883,real,False,False,1.0,1.0,undirected weighted random graph,G40.mat
504,Gset,G41,2000,2000,23570,0.0058925,real,False,False,1.0,1.0,undirected weighted random graph,G41.mat
505,Gset,G42,2000,2000,23558,0.0058895,real,False,False,1.0,1.0,undirected weighted random graph,G42.mat
506,Gset,G43,1000,1000,19980,0.01998,binary,False,False,1.0,1.0,undirected random graph,G43.mat
507,Gset,G44,1000,1000,19980,0.01998,binary,False,False,1.0,1.0,undirected random graph,G44.mat
508,Gset,G45,1000,1000,19980,0.01998,binary,False,False,1.0,1.0,undirected random graph,G45.mat
509,Gset,G46,1000,1000,19980,0.01998,binary,False,False,1.0,1.0,undirected random graph,G46.mat
510,Gset,G47,1000,1000,19980,0.01998,binary,False,False,1.0,1.0,undirected random graph,G47.mat
511,Gset,G48,3000,3000,12000,0.0013333333333333333,binary,False,False,1.0,1.0,undirected random graph,G48.mat
512,Gset,G49,3000,3000,12000,0.0013333333333333333,binary,False,False,1.0,1.0,undirected random graph,G49.mat
513,Gset,G5,800,800,38352,0.059925,binary,False,False,1.0,1.0,undirected random graph,G5.mat
514,Gset,G50,3000,3000,12000,0.0013333333333333333,binary,False,False,1.0,1.0,undirected random graph,G50.mat
515,Gset,G51,1000,1000,11818,0.011818,binary,False,False,1.0,1.0,undirected random graph,G51.mat
516,Gset,G52,1000,1000,11832,0.011832,binary,False,False,1.0,1.0,undirected random graph,G52.mat
517,Gset,G53,1000,1000,11828,0.011828,binary,False,False,1.0,1.0,undirected random graph,G53.mat
518,Gset,G54,1000,1000,11832,0.011832,binary,False,False,1.0,1.0,undirected random graph,G54.mat
519,Gset,G55,5000,5000,24996,0.00099984,binary,False,False,1.0,1.0,duplicate undirected random graph,G55.mat
520,Gset,G56,5000,5000,24996,0.00099984,real,False,False,1.0,1.0,undirected weighted random graph,G56.mat
521,Gset,G57,5000,5000,20000,0.0008,real,False,False,1.0,1.0,undirected weighted random graph,G57.mat
522,Gset,G58,5000,5000,59140,0.0023656,binary,False,False,1.0,1.0,duplicate undirected random graph,G58.mat
523,Gset,G59,5000,5000,59140,0.0023656,real,False,False,1.0,1.0,undirected weighted random graph,G59.mat
524,Gset,G6,800,800,38352,0.059925,real,False,False,1.0,1.0,undirected weighted random graph,G6.mat
525,Gset,G60,7000,7000,34296,0.0006999183673469388,binary,False,False,1.0,1.0,duplicate undirected random graph,G60.mat
526,Gset,G61,7000,7000,34296,0.0006999183673469388,real,False,False,1.0,1.0,undirected weighted random graph,G61.mat
527,Gset,G62,7000,7000,28000,0.0005714285714285715,real,False,False,1.0,1.0,undirected weighted random graph,G62.mat
528,Gset,G63,7000,7000,82918,0.0016922040816326532,binary,False,False,1.0,1.0,duplicate undirected random graph,G63.mat
529,Gset,G64,7000,7000,82918,0.0016922040816326532,real,False,False,1.0,1.0,undirected weighted random graph,G64.mat
530,Gset,G65,8000,8000,32000,0.0005,real,False,False,1.0,1.0,undirected weighted random graph,G65.mat
531,Gset,G66,9000,9000,36000,0.00044444444444444447,real,False,False,1.0,1.0,undirected weighted random graph,G66.mat
532,Gset,G67,10000,10000,40000,0.0004,real,False,False,1.0,1.0,undirected weighted random graph,G67.mat
533,Gset,G7,800,800,38352,0.059925,real,False,False,1.0,1.0,undirected weighted random graph,G7.mat
534,Gset,G8,800,800,38352,0.059925,real,False,False,1.0,1.0,undirected weighted random graph,G8.mat
535,Gset,G9,800,800,38352,0.059925,real,False,False,1.0,1.0,undirected weighted random graph,G9.mat
536,Gupta,gupta1,31802,31802,2164210,0.0021398854851536198,binary,False,False,1.0,1.0,optimization problem,gupta1.mat
537,Gupta,gupta2,62064,62064,4248286,0.001102895137027593,binary,False,False,1.0,1.0,optimization problem,gupta2.mat
538,Gupta,gupta3,16783,16783,9323427,0.033100639594854514,binary,False,False,1.0,1.0,optimization problem,gupta3.mat
539,Hamm,add20,2395,2395,13151,0.0022927026991688493,real,False,False,1.0,0.5265898103384158,circuit simulation problem,add20.mat
540,Hamm,add32,4960,4960,19848,0.000806776795005203,real,False,False,1.0,0.3052122514777001,circuit simulation problem,add32.mat
541,Hamm,bcircuit,68902,68902,375558,7.910671697110005e-05,real,False,False,1.0,0.9084315976207868,circuit simulation problem,bcircuit.mat
542,Hamm,hcircuit,105676,105676,513072,4.5943659227791696e-05,real,False,False,0.9999410961997232,0.1951139297670355,circuit simulation problem,hcircuit.mat
543,Hamm,memplus,17758,17758,99147,0.00031440646995601956,real,False,False,1.0,0.4962095614886533,circuit simulation problem,memplus.mat
545,Hollinger,g7jac010,2880,2880,18229,0.00219774787808642,real,False,False,0.07102357505222322,0.0,economic problem,g7jac010.mat
546,Hollinger,g7jac010sc,2880,2880,18229,0.00219774787808642,real,False,False,0.07102357505222322,0.0,economic problem,g7jac010sc.mat
547,Hollinger,g7jac020,5850,5850,42568,0.0012438600336036234,real,False,False,0.06184526063359838,0.0,economic problem,g7jac020.mat
548,Hollinger,g7jac020sc,5850,5850,42568,0.0012438600336036234,real,False,False,0.06184526063359838,0.0,economic problem,g7jac020sc.mat
549,Hollinger,g7jac040,11790,11790,107383,0.0007725167818790956,real,False,False,0.04830823961664447,0.0,economic problem,g7jac040.mat
550,Hollinger,g7jac040sc,11790,11790,107383,0.0007725167818790956,real,False,False,0.04830823961664447,0.0,economic problem,g7jac040sc.mat
551,Hollinger,g7jac050sc,14760,14760,145157,0.0006662930281064329,real,False,False,0.04349647420233192,0.0,economic problem,g7jac050sc.mat
552,Hollinger,g7jac060,17730,17730,183325,0.0005831821497431708,real,False,False,0.04035864774282543,0.0,economic problem,g7jac060.mat
553,Hollinger,g7jac060sc,17730,17730,183325,0.0005831821497431708,real,False,False,0.04035864774282543,0.0,economic problem,g7jac060sc.mat
554,Hollinger,g7jac080,23670,23670,259648,0.0004634346114874482,real,False,False,0.03703210435580416,0.0,economic problem,g7jac080.mat
555,Hollinger,g7jac080sc,23670,23670,259648,0.0004634346114874482,real,False,False,0.03703210435580416,0.0,economic problem,g7jac080sc.mat
556,Hollinger,g7jac100,29610,29610,335972,0.0003832006789604496,real,False,False,0.03529318979455026,0.0,economic problem,g7jac100.mat
557,Hollinger,g7jac100sc,29610,29610,335972,0.0003832006789604496,real,False,False,0.03529318979455026,0.0,economic problem,g7jac100sc.mat
558,Hollinger,g7jac120,35550,35550,412306,0.0003262424310760582,real,False,False,0.0342243022108217,0.0,economic problem,g7jac120.mat
559,Hollinger,g7jac120sc,35550,35550,412306,0.0003262424310760582,real,False,False,0.0342243022108217,0.0,economic problem,g7jac120sc.mat
560,Hollinger,g7jac140,41490,41490,488633,0.00028385459191512867,real,False,False,0.03350074170680273,0.0,economic problem,g7jac140.mat
561,Hollinger,g7jac140sc,41490,41490,488633,0.00028385459191512867,real,False,False,0.03350074170680273,0.0,economic problem,g7jac140sc.mat
562,Hollinger,g7jac160,47430,47430,564952,0.00025113387688655903,real,False,False,0.03297843351620031,0.0,economic problem,g7jac160.mat
563,Hollinger,g7jac160sc,47430,47430,564952,0.00025113387688655903,real,False,False,0.03297843351620031,0.0,economic problem,g7jac160sc.mat
564,Hollinger,g7jac180,53370,53370,641290,0.00022514383643426145,real,False,False,0.03258366406977314,0.0,economic problem,g7jac180.mat
565,Hollinger,g7jac180sc,53370,53370,641290,0.00022514383643426145,real,False,False,0.03258366406977314,0.0,economic problem,g7jac180sc.mat
566,Hollinger,g7jac200,59310,59310,717620,0.00020400400139171425,real,False,False,0.03227480202305086,0.0,economic problem,g7jac200.mat
567,Hollinger,g7jac200sc,59310,59310,717620,0.00020400400139171425,real,False,False,0.03227480202305086,0.0,economic problem,g7jac200sc.mat
568,Hollinger,jan99jac020,6774,6774,33744,0.0007353704559427582,real,False,False,0.003759634062284604,0.0,economic problem,jan99jac020.mat
569,Hollinger,jan99jac020sc,6774,6774,33744,0.0007353704559427582,real,False,False,0.003759634062284604,0.0,economic problem,jan99jac020sc.mat
570,Hollinger,jan99jac040,13694,13694,72734,0.00038786163615517615,real,False,False,0.003470816220281136,0.0,economic problem,jan99jac040.mat
